Step,AgentID,Agent Attributes
46,1,"{'unique_id': 1, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 2, 'resources': {'money': 120, 'chips': -70}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'company_name': 'Infineon', 'capabilities_score': 16.0, 'public_opinion': 8.128530000000001, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,2,"{'unique_id': 2, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,3,"{'unique_id': 3, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,4,"{'unique_id': 4, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,5,"{'unique_id': 5, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,6,"{'unique_id': 6, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 71.4, 'resources': {'chips': -70, 'money': 50, 'silicon': 0}}"
46,7,"{'unique_id': 7, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,8,"{'unique_id': 8, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,9,"{'unique_id': 9, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d36d0>, 'country': 'EU', 'public_opinion': -0.011271306378409101, 'resources': {'chips': -40, 'money': 50, 'silicon': 0}}"
46,10,"{'unique_id': 10, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'resources': {'money': -1936.0, 'chips': 50, 'silicon': 0}, 'country': 'Taiwan', 'public_opinion': 856.9377109020265, 'company': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3d39a0>, 'debt': 0, 'gdp': -1858.1, 'prev_resources': {'money': -1936.0, 'chips': 50, 'silicon': 0}, 'silicon_export_rate': 0, 'processing_capacity': 0, 'research_capacity': 980, 'decision_thresholds': {'money': [30, 60], 'chips': [20, 30], 'anxiety_score': [7], 'gdp': [5]}, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'sanctions_cost': 30, 'sanctions_percentage': 0.2, 'alliance_cost': 20, 'alliance_gain': 10, 'research_investment_cost': 15, 'research_capacity_gain': 10}"
46,11,"{'unique_id': 11, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 5, 'resources': {'money': 7, 'chips': 5}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d11f0>, 'company_name': 'TSMC', 'capabilities_score': 15.899999999999999, 'public_opinion': 31.926620454446077, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,12,"{'unique_id': 12, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d11f0>, 'country': 'Taiwan', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,13,"{'unique_id': 13, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d11f0>, 'country': 'Taiwan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,14,"{'unique_id': 14, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'resources': {'money': 24.799999999999997, 'chips': 909.9439259356781, 'silicon': 0.0002951266546344459}, 'country': 'Japan', 'public_opinion': 369.7007287308398, 'company': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3be970>, 'debt': 0, 'gdp': 35.74392590288926, 'prev_resources': {'money': 24.799999999999997, 'chips': 909.9439259028894, 'silicon': 3.279185375768808e-09}, 'silicon_export_rate': 0.1, 'processing_capacity': 0.9, 'research_capacity': 160, 'decision_thresholds': {'money': [30, 60], 'chips': [20, 30], 'anxiety_score': [7], 'gdp': [5]}, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'sanctions_cost': 30, 'sanctions_percentage': 0.2, 'alliance_cost': 20, 'alliance_gain': 10, 'research_investment_cost': 15, 'research_capacity_gain': 10}"
46,15,"{'unique_id': 15, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 6, 'resources': {'money': 292, 'chips': -255}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'company_name': 'Renesas', 'capabilities_score': -936.0000000000001, 'public_opinion': -1.9859181837083835, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,16,"{'unique_id': 16, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'silicon': 0.002656139888758746, 'money': 50, 'chips': 0}}"
46,17,"{'unique_id': 17, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'silicon': 0.002656139888758746, 'money': 50, 'chips': 0}}"
46,18,"{'unique_id': 18, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 12.0}}"
46,19,"{'unique_id': 19, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 57.87077836221547, 'resources': {'chips': -10, 'money': 50, 'silicon': 0}}"
46,20,"{'unique_id': 20, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 35.5, 'resources': {'chips': -100, 'money': 50, 'silicon': 0}}"
46,21,"{'unique_id': 21, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,22,"{'unique_id': 22, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,23,"{'unique_id': 23, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,24,"{'unique_id': 24, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,25,"{'unique_id': 25, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,26,"{'unique_id': 26, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,27,"{'unique_id': 27, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3820>, 'country': 'Japan', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,28,"{'unique_id': 28, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'resources': {'money': 33.8, 'chips': 50, 'silicon': 0}, 'country': 'US', 'public_opinion': 327.4795203359864, 'company': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3d3b80>, 'debt': 0, 'gdp': 476.50000000000006, 'prev_resources': {'money': 23.799999999999997, 'chips': 50, 'silicon': 0}, 'silicon_export_rate': 0, 'processing_capacity': 0, 'research_capacity': 220, 'decision_thresholds': {'money': [30, 60], 'chips': [20, 30], 'anxiety_score': [7], 'gdp': [5]}, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'sanctions_cost': 30, 'sanctions_percentage': 0.2, 'alliance_cost': 20, 'alliance_gain': 10, 'research_investment_cost': 15, 'research_capacity_gain': 10}"
46,29,"{'unique_id': 29, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 7, 'resources': {'money': 19, 'chips': 106}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d1040>, 'company_name': 'Nvidia', 'capabilities_score': 278.30000000000007, 'public_opinion': -0.018825903027853357, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,30,"{'unique_id': 30, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d1040>, 'country': 'US', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,31,"{'unique_id': 31, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d1040>, 'country': 'US', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,32,"{'unique_id': 32, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d1040>, 'country': 'US', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,33,"{'unique_id': 33, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d1040>, 'country': 'US', 'public_opinion': 0, 'resources': {'silicon': 100, 'money': 50, 'chips': 0}}"
46,34,"{'unique_id': 34, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d1040>, 'country': 'US', 'public_opinion': 0, 'resources': {'chips': 50, 'money': 50, 'silicon': 0}}"
46,35,"{'unique_id': 35, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'resources': {'money': 16.0, 'chips': -70, 'silicon': 988.0}, 'country': 'China', 'public_opinion': 351.6514179563936, 'company': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3bed90>, 'debt': 0, 'gdp': 578.2, 'prev_resources': {'money': 16.0, 'chips': -70, 'silicon': 988.0}, 'silicon_export_rate': 0.8, 'processing_capacity': 0.2, 'research_capacity': 180, 'decision_thresholds': {'money': [30, 60], 'chips': [20, 30], 'anxiety_score': [7], 'gdp': [5]}, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'sanctions_cost': 30, 'sanctions_percentage': 0.2, 'alliance_cost': 20, 'alliance_gain': 10, 'research_investment_cost': 15, 'research_capacity_gain': 10}"
46,36,"{'unique_id': 36, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 8, 'resources': {'money': 19, 'chips': 145}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'company_name': 'SMIC', 'capabilities_score': 472.7, 'public_opinion': -1.313030025006853, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,37,"{'unique_id': 37, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 0.0, 'money': 50, 'chips': 0}}"
46,38,"{'unique_id': 38, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,39,"{'unique_id': 39, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,40,"{'unique_id': 40, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,41,"{'unique_id': 41, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,42,"{'unique_id': 42, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,43,"{'unique_id': 43, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,44,"{'unique_id': 44, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,45,"{'unique_id': 45, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': -1.0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': -30}}"
46,46,"{'unique_id': 46, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'country_agent': <Agents.companycountry.CountryAgent object at 0x7fc5fa3d3760>, 'country': 'China', 'public_opinion': 0, 'resources': {'silicon': 1.2676506002282052e-68, 'money': 50, 'chips': 0}}"
46,47,"{'unique_id': 47, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 7, 'resources': {'money': 5, 'chips': 428}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.companycountry.CompanyAgent object at 0x7fc5fa3d3b80>, 'company_name': 'Company_47', 'capabilities_score': 2000.6999999999998, 'public_opinion': -0.18395569274802578, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,48,"{'unique_id': 48, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 4, 'resources': {'money': 6, 'chips': 471}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3d3640>, 'company_name': 'Company_48', 'capabilities_score': 47.1, 'public_opinion': 0.3999999999999986, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
46,49,"{'unique_id': 49, 'model': <model.GameModel object at 0x7fc5f812a6a0>, 'pos': None, 'talent': 1, 'resources': {'money': 6, 'chips': -4}, 'prev_resources': {'money': 100, 'chips': 50}, 'country_agent': <Agents.plant.ProcessingPlantAgent object at 0x7fc5fa3dfd30>, 'company_name': 'Company_49', 'capabilities_score': 67.60000000000001, 'public_opinion': 122.6915914265394, 'influence': 1, 'project_launch_threshold': 10, 'government_lobby_money_threshold': 50, 'cooperation_thresholds': {'money': 30, 'chips': 30}, 'project_launch_cost': 10, 'government_lobby_talent_threshold': 5, 'competition_percentage': 0.1}"
